140,81,ROUBO - OUTROS,Capital,034 DP - Vila Sonia,CAPITAL,São Paulo
76,81,ROUBO - OUTROS,Capital,010 DP - Penha de França,CAPITAL,São Paulo
80,81,ROUBO - OUTROS,Capital,025 DP - Parelheiros,CAPITAL,São Paulo
72,81,ROUBO - OUTROS,Grande São Paulo (exclui Capital),001 DP - Embú,Grande São Paulo (exclui a Capital),Embu das Artes
55,80,FURTO - OUTROS,Interior,008 DP - Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
71,80,ROUBO - OUTROS,Grande São Paulo (exclui Capital),001 DP - Santo André,Grande São Paulo (exclui a Capital),Santo André
121,79,FURTO DE VEÍCULO,Capital,017 DP - Ipiranga,CAPITAL,São Paulo
76,79,FURTO DE VEÍCULO,Grande São Paulo (exclui Capital),001 DP - Mauá,Grande São Paulo (exclui a Capital),Mauá
77,78,FURTO - OUTROS,Capital,055 DP - Parque São Rafael,CAPITAL,São Paulo
80,78,FURTO - OUTROS,Grande São Paulo (exclui Capital),006 DP - Guarulhos,Grande São Paulo (exclui a Capital),Guarulhos
65,78,FURTO DE VEÍCULO,Grande São Paulo (exclui Capital),003 DP - Santo André,Grande São Paulo (exclui a Capital),Santo André
74,78,ROUBO - OUTROS,Grande São Paulo (exclui Capital),002 DP - Guarulhos,Grande São Paulo (exclui a Capital),Guarulhos
85,77,FURTO - OUTROS,Grande São Paulo (exclui Capital),DM - Franco da Rocha,Grande São Paulo (exclui a Capital),Franco da Rocha
102,77,ROUBO - OUTROS,Capital,064 DP - Cidade A E Carvalho,CAPITAL,São Paulo
83,76,FURTO - OUTROS,Capital,075 DP - Jardim Arpoador,CAPITAL,São Paulo
96,76,FURTO - OUTROS,Capital,102 DP - Socorro,CAPITAL,São Paulo
75,76,FURTO DE VEÍCULO,Capital,023 DP - Perdizes,CAPITAL,São Paulo
76,76,ROUBO - OUTROS,Capital,030 DP - Tatuapé,CAPITAL,São Paulo
80,75,FURTO - OUTROS,Grande São Paulo (exclui Capital),001 DP - Taboão da Serra,Grande São Paulo (exclui a Capital),Taboão da Serra
114,75,FURTO - OUTROS,Interior,006 DP - Campinas,Campinas,Campinas
62,75,ROUBO - OUTROS,Grande São Paulo (exclui Capital),001 DP - Mauá,Grande São Paulo (exclui a Capital),Mauá
73,74,FURTO - OUTROS,Interior,001 DP - Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
94,74,FURTO - OUTROS,Interior,002 DP - São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
111,74,FURTO - OUTROS,Interior,009 DP - Sorocaba,Sorocaba,Sorocaba
88,74,ROUBO - OUTROS,Grande São Paulo (exclui Capital),006 DP - São Bernardo do Campo,Grande São Paulo (exclui a Capital),São Bernardo do Campo
102,73,FURTO - OUTROS,Grande São Paulo (exclui Capital),DM - Poá,Grande São Paulo (exclui a Capital),Poá
78,73,FURTO - OUTROS,Interior,011 DP - Sorocaba,Sorocaba,Sorocaba
89,73,ROUBO - OUTROS,Capital,036 DP - Vila Mariana,CAPITAL,São Paulo
34,72,FURTO - OUTROS,Interior,003 DP - Araçatuba,Araçatuba,Araçatuba
97,72,FURTO - OUTROS,Interior,003 DP - Franca,Ribeirão Preto,Franca
68,72,FURTO - OUTROS,Interior,006 DP - Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
98,72,FURTO DE VEÍCULO,Capital,006 DP - Cambuci,CAPITAL,São Paulo
65,72,FURTO DE VEÍCULO,Capital,029 DP - Vila Diva,CAPITAL,São Paulo
50,72,FURTO DE VEÍCULO,Capital,024 DP - Ponte Rasa,CAPITAL,São Paulo
42,72,FURTO DE VEÍCULO,Grande São Paulo (exclui Capital),001 DP - São Bernardo do Campo,Grande São Paulo (exclui a Capital),São Bernardo do Campo
94,72,ROUBO - OUTROS,Capital,070 DP - Vila Ema,CAPITAL,São Paulo
55,71,FURTO - OUTROS,Grande São Paulo (exclui Capital),003 DP - Carapicuiba,Grande São Paulo (exclui a Capital),Carapicuíba
91,71,FURTO - OUTROS,Grande São Paulo (exclui Capital),DM - Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital),Ferraz de Vasconcelos
117,71,FURTO - OUTROS,Interior,003 DP - São Jose dos Campos,São José dos Campos,São José dos Campos
82,71,FURTO - OUTROS,Interior,002 DP - Barretos,Ribeirão Preto,Barretos
73,71,FURTO - OUTROS,Interior,002 DP - Franca,Ribeirão Preto,Franca
54,71,FURTO - OUTROS,Interior,DM - Sertãozinho,Ribeirão Preto,Sertãozinho
103,71,FURTO - OUTROS,Interior,002 DP - Santos,Santos,Santos
92,71,FURTO DE VEÍCULO,Grande São Paulo (exclui Capital),002 DP - Santo André,Grande São Paulo (exclui a Capital),Santo André
60,70,FURTO - OUTROS,Capital,029 DP - Vila Diva,CAPITAL,São Paulo
58,70,FURTO - OUTROS,Interior,001 DP - Sorocaba,Sorocaba,Sorocaba
71,70,FURTO DE VEÍCULO,Capital,011 DP - Santo Amaro,CAPITAL,São Paulo
66,70,FURTO DE VEÍCULO,Capital,041 DP - Vila Rica,CAPITAL,São Paulo
81,70,ROUBO - OUTROS,Capital,006 DP - Cambuci,CAPITAL,São Paulo
141,70,ROUBO - OUTROS,Capital,089 DP - Portal do Morumbi,CAPITAL,São Paulo
61,70,ROUBO - OUTROS,Capital,039 DP - Vila Gustavo,CAPITAL,São Paulo
58,70,ROUBO - OUTROS,Capital,090 DP - Parque Novo Mundo,CAPITAL,São Paulo
49,69,FURTO - OUTROS,Grande São Paulo (exclui Capital),008 DP - Guarulhos,Grande São Paulo (exclui a Capital),Guarulhos
72,69,FURTO - OUTROS,Grande São Paulo (exclui Capital),008 DP - São Bernardo do Campo,Grande São Paulo (exclui a Capital),São Bernardo do Campo
28,69,FURTO - OUTROS,Interior,DM - Campos do Jordão,São José dos Campos,Campos do Jordão
67,69,FURTO - OUTROS,Interior,004 DP - Marília,Bauru,Marília
41,69,FURTO - OUTROS,Interior,004 DP - Sorocaba,Sorocaba,Sorocaba
69,69,ROUBO - OUTROS,Capital,021 DP - Vila Matilde,CAPITAL,São Paulo
94,69,ROUBO - OUTROS,Capital,065 DP - Artur Alvim,CAPITAL,São Paulo
64,68,FURTO - OUTROS,Interior,005 DP - São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
62,68,ROUBO - OUTROS,Capital,040 DP - Vila Santa Maria,CAPITAL,São Paulo
78,68,ROUBO - OUTROS,Capital,103 DP - Cohab Itaquera,CAPITAL,São Paulo
